Market_and_Exchange_Names,Report_Date_as_MM_DD_YYYY,Comm_Net_All,NonComm_Net_All,NonRept_Net_All
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-12-14,-26591,20610,5981
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-12-21,-29708,23217,6491
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-12-28,-33600,26523,7077
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-01-04,-26112,20264,5848
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-01-11,-24270,18072,6198
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-01-18,-23294,17581,5713
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-01-25,-26017,19880,6137
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-02-01,-22613,17315,5298
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-02-08,-19101,14818,4283
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-02-15,-28769,20627,8142
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-02-22,-34157,27718,6439
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-03-01,-39521,33226,6295
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-03-08,-42189,36089,6100
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-03-15,-35665,30788,4877
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-03-22,-34382,30231,4151
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-03-29,-28519,25605,2914
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-04-05,-30973,27527,3446
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-04-12,-32129,28146,3983
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-04-19,-21501,18640,2861
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-04-26,-24684,22360,2324
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-05-03,-19747,19380,367
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-05-10,-16788,16884,-96
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-05-17,-3689,3321,368
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-05-24,-3188,3553,-365
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-05-31,-9273,9492,-219
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-06-07,-18537,18012,525
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-06-14,-21556,20812,744
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-06-21,-25806,22783,3023
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-06-28,-23111,20711,2400
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-07-05,-14380,13357,1023
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-07-12,-16611,15081,1530
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-07-19,-18495,16877,1618
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-07-26,-18146,16819,1327
COPPER- #1 - COMMODITY EXCHANGE INC.,2005-08-02,-18587,18194,393
