Market_and_Exchange_Names,Report_Date_as_MM_DD_YYYY,Comm_Net_All,NonComm_Net_All,NonRept_Net_All
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2017-12-26,78062,-111310,33248
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-01-02,81398,-106207,24809
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-01-09,81178,-106787,25609
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-01-16,98969,-123915,24946
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-01-23,108536,-139247,30711
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-01-30,121375,-138051,16676
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-02-06,135638,-145544,9906
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-02-13,159976,-164519,4543
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-02-20,157743,-161038,3295
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-02-27,126357,-158552,32195
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-03-06,146631,-170410,23779
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-03-13,132490,-148420,15930
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-03-20,145715,-147388,1673
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-03-27,139035,-152612,13577
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-04-03,136467,-149956,13489
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-04-10,141164,-153666,12502
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-04-17,131324,-156681,25357
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-04-24,147931,-159975,12044
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-05-01,158740,-171600,12860
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-05-08,159687,-177437,17750
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-05-15,178333,-187904,9571
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-05-22,197442,-194423,-3019
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-05-29,172350,-189766,17416
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-06-05,162852,-184425,21573
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-06-12,164585,-192631,28046
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-06-19,163244,-189281,26037
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-06-26,154320,-185717,31397
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-07-03,158627,-194199,35572
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-07-10,149882,-190794,40912
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-07-17,157717,-209909,52192
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-07-24,174328,-212674,38346
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-07-31,183830,-222536,38706
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-08-07,186204,-220107,33903
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-08-14,199594,-240483,40889
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-08-21,183193,-224395,41202
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-08-28,153224,-211531,58307
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-09-04,179015,-221816,42801
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-09-11,186673,-223679,37006
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-09-18,199061,-229975,30914
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-09-25,204489,-234334,29845
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-10-02,220526,-240737,20211
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-10-09,216990,-226155,9165
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-10-16,233187,-244975,11788
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-10-23,218870,-239485,20615
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-10-30,226645,-250125,23480
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-11-06,232224,-259949,27725
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-11-13,242087,-280858,38771
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-11-20,240758,-274782,34024
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-11-27,242382,-280779,38397
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-12-04,254484,-294701,40217
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-12-11,235218,-283133,47915
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-12-18,228132,-275376,47244
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-12-24,219888,-270871,50983
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2018-12-31,196832,-260371,63539
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-01-08,204617,-262705,58088
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-01-15,214559,-281932,67373
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-01-22,244827,-313532,68705
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-01-29,244242,-312093,67851
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-02-05,233991,-291770,57779
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-02-12,245413,-315331,69918
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-02-19,230533,-309722,79189
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-02-26,228709,-319137,90428
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-03-05,237463,-302833,65370
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-03-12,216671,-281523,64852
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-03-19,212830,-277042,64212
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-03-26,237616,-300062,62446
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-04-02,228632,-300193,71561
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-04-09,221481,-304433,82952
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-04-16,236624,-313415,76791
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-04-23,247731,-322831,75100
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-04-30,255885,-323880,67995
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-05-07,245250,-314147,68897
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-05-14,245439,-333509,88070
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-05-21,237664,-327346,89682
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-05-28,243190,-325223,82033
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-06-04,229925,-319594,89669
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-06-11,214298,-300126,85828
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-06-18,217723,-304330,86607
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-06-25,214333,-302257,87924
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-07-02,208611,-298174,89563
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-07-09,213724,-295562,81838
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-07-16,213648,-294242,80594
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-07-23,203012,-288972,85960
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-07-30,198289,-287072,88783
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-08-06,190502,-280624,90122
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-08-13,204608,-296930,92322
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-08-20,215455,-306100,90645
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-08-27,217744,-303626,85882
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-09-03,221216,-305602,84386
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-09-10,208451,-301276,92825
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-09-17,195949,-293709,97760
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-09-24,174078,-272541,98463
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-10-01,190931,-272242,81311
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-10-08,183927,-278324,94397
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-10-15,187131,-280908,93777
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-10-22,174889,-274758,99869
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-10-29,204090,-283206,79116
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-11-05,230810,-299828,69018
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-11-12,262183,-326477,64294
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-11-19,274688,-340142,65454
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-11-26,268842,-346996,78154
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-12-03,296133,-362546,66413
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-12-10,309962,-384666,74704
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-12-17,329046,-405043,75997
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-12-24,339107,-409502,70395
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2019-12-31,353219,-420514,67295
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-01-07,368294,-437432,69138
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-01-14,377105,-444310,67205
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-01-21,377925,-453959,76034
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-01-28,375883,-438004,62121
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-02-04,337041,-420291,83250
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-02-11,345477,-421597,76120
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-02-18,345630,-425680,80050
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-02-25,312197,-389550,77353
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-03-03,324004,-397153,73149
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-03-10,249992,-326017,76025
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-03-17,237089,-289928,52839
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-03-24,221735,-256662,34927
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-03-31,236265,-272768,36503
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-04-07,226320,-265840,39520
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-04-14,216248,-260022,43774
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-04-21,219302,-262241,42939
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-04-28,214477,-253719,39242
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-05-05,201648,-247497,45849
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-05-12,188734,-238614,49880
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-05-19,200391,-243981,43590
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-05-26,202903,-251955,49052
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-06-02,223551,-262498,38947
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-06-09,256232,-290676,34444
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-06-16,250668,-297433,46765
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-06-23,247664,-296549,48885
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-06-30,288900,-349087,60187
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-07-07,293108,-347324,54216
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-07-14,295142,-350687,55545
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-07-21,295710,-347554,51844
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-07-28,283743,-334667,50924
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-08-04,288092,-334927,46835
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-08-11,279476,-320445,40969
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-08-18,278807,-321330,42523
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-08-25,241391,-286139,44748
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-09-01,309763,-321977,12214
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-09-08,291309,-296861,5552
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-09-15,277998,-297044,19046
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-09-22,247593,-282226,34633
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-09-29,249838,-289171,39333
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-10-06,245713,-266341,20628
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-10-13,235186,-262250,27064
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-10-20,231711,-255746,24035
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-10-27,223624,-247677,24053
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-11-03,222523,-241338,18815
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-11-10,238567,-245810,7243
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-11-17,220623,-237214,16591
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-11-24,206345,-236043,29698
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-12-01,240882,-241635,753
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-12-08,239892,-240848,956
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-12-15,240595,-245996,5401
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-12-21,251834,-249799,-2035
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2020-12-29,248482,-249474,992
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-01-05,249553,-234216,-15337
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-01-12,238670,-231424,-7246
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-01-19,228083,-220018,-8065
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-01-26,215504,-208925,-6579
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-02-02,226042,-211872,-14170
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-02-09,231753,-220463,-11290
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-02-16,237111,-229297,-7814
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-02-23,228517,-215036,-13481
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-03-02,272678,-255460,-17218
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-03-09,260600,-250679,-9921
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-03-16,260207,-258663,-1544
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-03-23,278094,-265717,-12377
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-03-30,275130,-259124,-16006
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-04-06,285070,-261819,-23251
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-04-13,287986,-267848,-20138
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-04-20,287068,-267847,-19221
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-04-27,272787,-250828,-21959
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-05-04,279812,-251517,-28295
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-05-11,263753,-224410,-39343
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-05-18,272698,-239792,-32906
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-05-25,287734,-249634,-38100
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-06-01,295258,-258231,-37027
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-06-08,270317,-233264,-37053
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-06-15,254315,-242409,-11906
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-06-22,232264,-228949,-3315
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-06-29,219440,-216389,-3051
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-07-06,237915,-235067,-2848
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-07-13,226115,-235633,9518
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-07-20,214235,-226637,12402
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-07-27,223412,-236239,12827
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-08-03,231709,-235055,3346
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-08-10,243227,-247927,4700
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-08-17,247849,-247347,-502
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-08-24,240631,-253970,13339
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-08-31,281684,-282375,691
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-09-07,280674,-288599,7925
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-09-14,276818,-301788,24970
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-09-21,276897,-294765,17868
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-09-28,294678,-299793,5115
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-10-05,324157,-313634,-10523
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-10-12,317409,-313414,-3995
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-10-19,313784,-311777,-2007
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-10-26,325324,-331213,5889
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-11-02,283250,-292611,9361
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-11-09,291663,-300782,9119
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-11-16,287988,-298879,10891
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-11-23,280496,-291720,11224
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-11-30,296670,-310496,13826
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-12-07,274032,-290354,16322
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-12-14,259703,-292473,32770
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-12-21,265003,-297561,32558
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2021-12-28,264412,-300717,36305
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2022-01-04,268878,-289601,20723
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2022-01-11,294877,-309531,14654
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2022-01-18,302042,-338350,36308
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2022-01-25,312275,-343245,30970
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2022-02-01,308562,-333593,25031
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2022-02-08,284470,-315852,31382
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2022-02-15,298631,-330139,31508
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2022-02-22,297783,-334381,36598
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2022-03-01,297953,-335261,37308
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2022-03-08,252520,-284418,31898
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2022-03-15,228742,-266244,37502
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2022-03-22,255630,-298523,42893
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2022-03-29,288970,-323558,34588
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2022-04-05,307823,-330916,23093
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2022-04-12,304992,-332828,27836
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2022-04-19,310822,-337358,26536
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2022-04-26,308472,-344054,35582
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2022-05-03,298805,-319179,20374
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2022-05-10,290655,-311513,20858
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2022-05-17,264222,-294559,30337
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2022-05-24,290252,-307895,17643
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2022-05-31,287591,-309278,21687
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2022-06-07,290771,-314973,24202
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2022-06-14,311386,-341601,30215
ULTRA UST BOND - CHICAGO BOARD OF TRADE,2022-06-21,316836,-345056,28220
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-01-06,173245,-79191,-94054
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-01-13,140709,-51526,-89183
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-01-20,146383,-59685,-86698
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-01-27,169998,-72583,-97415
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-02-03,166521,-49823,-116698
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-02-10,157614,-53187,-104427
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-02-17,121851,-12128,-109723
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-02-24,69476,52831,-122307
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-03-02,117401,-1047,-116354
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-03-09,137115,-23302,-113813
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-03-16,126283,-40105,-86178
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-03-23,183650,-91671,-91979
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-03-30,188656,-70956,-117700
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-04-06,194717,-70563,-124154
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-04-12,218478,-100749,-117729
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-04-20,232784,-114820,-117964
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-04-27,287337,-191271,-96066
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-05-04,278056,-165896,-112160
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-05-11,239706,-151847,-87859
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-05-18,269021,-168126,-100895
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-05-25,228824,-130267,-98557
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-06-01,296973,-173219,-123754
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-06-08,302520,-182370,-120150
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-06-15,245735,-119798,-125937
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-06-22,281429,-174984,-106445
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-06-29,313543,-202921,-110622
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-07-06,307313,-191544,-115769
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-07-13,337351,-216251,-121100
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-07-20,324652,-211749,-112903
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-07-27,307655,-171740,-135915
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-08-03,288668,-170852,-117816
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-08-10,258506,-143629,-114877
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-08-17,205881,-106385,-99496
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-08-24,208182,-110472,-97710
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-08-31,148403,-33316,-115087
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-09-07,181345,-50387,-130958
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-09-14,108321,640,-108961
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-09-21,80619,32283,-112902
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-09-28,39927,75554,-115481
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-10-05,62332,53444,-115776
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-10-12,37727,58206,-95933
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-10-19,-1425,95845,-94420
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-10-26,-16678,125467,-108789
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-11-02,16970,101527,-118497
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-11-09,18754,131544,-150298
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-11-16,41135,101454,-142589
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-11-23,27081,135371,-162452
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-11-30,124303,67427,-191730
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-12-07,143945,22206,-166151
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-12-14,98315,49275,-147590
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-12-21,76394,29590,-105984
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2004-12-28,80583,47583,-128166
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2005-01-04,138198,31985,-170183
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2005-01-11,162417,-5137,-157280
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2005-01-18,122432,33546,-155978
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2005-01-25,277863,-53586,-224277
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2005-02-01,291504,-55456,-236048
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2005-02-08,220379,-6381,-213998
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2005-02-15,155176,45792,-200968
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2005-02-22,156927,86920,-243847
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2005-03-01,308906,-20190,-288716
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2005-03-08,450187,-110143,-340044
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2005-03-15,508893,-147054,-361839
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2005-03-22,576211,-219385,-356826
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2005-03-29,525204,-214230,-310974
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2005-04-05,502541,-201595,-300946
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2005-04-12,412621,-189254,-223367
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2005-04-19,388933,-196675,-192258
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2005-04-26,319500,-129266,-190234
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2005-05-03,262164,-101098,-161066
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2005-05-10,290276,-127198,-163078
UST 10Y NOTE - CHICAGO BOARD OF TRADE,2005-05-17,301901,-126874,-175027
